Support,Pattern,Decoded_Pattern
26,"[25, 20]","[['?'], ['?']]"
26,"[25, 45]","[['?'], ['?']]"
26,"[23, 11]","[['?'], ['?']]"
26,"[23, 43]","[['?'], ['?']]"
26,"[11, 18]","[['?'], ['?']]"
26,"[27, 4, 18]","[['?'], ['?'], ['?']]"
26,"[27, 23]","[['?'], ['?']]"
26,"[27, 45]","[['?'], ['?']]"
26,"[27, 46]","[['?'], ['?']]"
26,"[27, 2]","[['?'], ['?']]"
26,"[33, 4]","[['?'], ['?']]"
26,"[3, 43]","[['?'], ['?']]"
26,"[30, 11]","[['?'], ['?']]"
26,"[30, 30]","[['?'], ['?']]"
26,"[13, 20]","[['?'], ['?']]"
26,"[13, 7]","[['?'], ['?']]"
26,"[8, 43, 27]","[['?'], ['?'], ['?']]"
26,"[8, 30]","[['?'], ['?']]"
26,"[18, 4, 43]","[['?'], ['?'], ['?']]"
26,"[18, 4, 38]","[['?'], ['?'], ['?']]"
26,"[18, 24]","[['?'], ['?']]"
26,"[39, 27, 27]","[['?'], ['?'], ['?']]"
26,"[20, 4, 4]","[['?'], ['?'], ['?']]"
26,"[47, 43]","[['?'], ['?']]"
26,"[0, 21]","[['?'], ['?']]"
26,"[0, 0]","[['?'], ['?']]"
25,"[17, 20]","[['?'], ['?']]"
25,"[19, 7]","[['?'], ['?']]"
25,"[19, 4, 4]","[['?'], ['?'], ['?']]"
25,"[19, 1]","[['?'], ['?']]"
25,"[19, 27, 27]","[['?'], ['?'], ['?']]"
25,"[19, 21]","[['?'], ['?']]"
25,"[19, 20]","[['?'], ['?']]"
25,"[7, 1]","[['?'], ['?']]"
25,"[49, 27, 27]","[['?'], ['?'], ['?']]"
25,"[49, 17]","[['?'], ['?']]"
25,"[43, 43, 4]","[['?'], ['?'], ['?']]"
25,"[43, 11, 27]","[['?'], ['?'], ['?']]"
25,"[43, 2]","[['?'], ['?']]"
25,"[4, 4, 18, 4]","[['?'], ['?'], ['?'], ['?']]"
25,"[4, 38, 43]","[['?'], ['?'], ['?']]"
25,"[4, 1, 4]","[['?'], ['?'], ['?']]"
25,"[4, 27, 43]","[['?'], ['?'], ['?']]"
25,"[4, 27, 38]","[['?'], ['?'], ['?']]"
25,"[4, 18, 4, 4]","[['?'], ['?'], ['?'], ['?']]"
25,"[4, 2]","[['?'], ['?']]"
25,"[22, 43, 38]","[['?'], ['?'], ['?']]"
25,"[22, 25]","[['?'], ['?']]"
25,"[22, 35]","[['?'], ['?']]"
25,"[22, 44]","[['?'], ['?']]"
25,"[48, 22]","[['?'], ['?']]"
25,"[48, 27]","[['?'], ['?']]"
25,"[38, 38, 27]","[['?'], ['?'], ['?']]"
25,"[38, 1]","[['?'], ['?']]"
25,"[38, 20]","[['?'], ['?']]"
25,"[38, 17]","[['?'], ['?']]"
25,"[1, 43]","[['?'], ['?']]"
25,"[11, 21]","[['?'], ['?']]"
25,"[11, 8]","[['?'], ['?']]"
25,"[27, 4, 22]","[['?'], ['?'], ['?']]"
25,"[27, 22, 27]","[['?'], ['?'], ['?']]"
25,"[27, 27, 4]","[['?'], ['?'], ['?']]"
25,"[27, 38, 27]","[['?'], ['?'], ['?']]"
25,"[21, 39]","[['?'], ['?']]"
25,"[3, 22]","[['?'], ['?']]"
25,"[30, 38]","[['?'], ['?']]"
25,"[30, 1]","[['?'], ['?']]"
25,"[30, 8]","[['?'], ['?']]"
25,"[45, 8]","[['?'], ['?']]"
25,"[45, 20]","[['?'], ['?']]"
25,"[8, 0]","[['?'], ['?']]"
25,"[8, 45]","[['?'], ['?']]"
25,"[8, 1]","[['?'], ['?']]"
25,"[8, 31]","[['?'], ['?']]"
25,"[18, 39, 4]","[['?'], ['?'], ['?']]"
25,"[18, 27, 4]","[['?'], ['?'], ['?']]"
25,"[18, 27, 20]","[['?'], ['?'], ['?']]"
25,"[18, 4, 7]","[['?'], ['?'], ['?']]"
25,"[18, 4, 39]","[['?'], ['?'], ['?']]"
25,"[18, 4, 4, 4]","[['?'], ['?'], ['?'], ['?']]"
25,"[18, 4, 4, 18]","[['?'], ['?'], ['?'], ['?']]"
25,"[18, 18, 27, 27]","[['?'], ['?'], ['?'], ['?']]"
25,"[18, 18, 18, 18]","[['?'], ['?'], ['?'], ['?']]"
25,"[18, 23]","[['?'], ['?']]"
25,"[18, 1, 4]","[['?'], ['?'], ['?']]"
