minsup,Pattern,Support
10,"[(12,), (12,), (7, 8), (12,), (7,)]",10
10,"[(12,), (12,), (7, 8), (12,)]",21
10,"[(12,), (12,), (7, 8), (8,), (12,)]",10
10,"[(12,), (12,), (7, 8), (8,)]",19
10,"[(12,), (12,), (7, 8), (7, 8), (8,)]",11
10,"[(12,), (12,), (7, 8), (7, 8)]",15
10,"[(12,), (12,), (7, 8), (7,), (12,), (12,)]",10
10,"[(12,), (12,), (7, 8), (7,), (12,)]",11
10,"[(12,), (12,), (7, 8), (7,), (8,)]",10
10,"[(12,), (12,), (7, 8), (7,), (7, 8)]",11
10,"[(12,), (12,), (7, 8), (7,), (7,)]",11
10,"[(12,), (12,), (7, 8), (7,)]",13
10,"[(12,), (12,), (7, 8)]",33
10,"[(12,), (12,), (7,), (66,)]",10
10,"[(12,), (12,), (7,), (61,)]",12
10,"[(12,), (12,), (7,), (12,), (12,), (12,)]",11
10,"[(12,), (12,), (7,), (12,), (12,), (8,)]",11
10,"[(12,), (12,), (7,), (12,), (12,), (7, 8), (8,)]",11
10,"[(12,), (12,), (7,), (12,), (12,), (7, 8)]",13
10,"[(12,), (12,), (7,), (12,), (12,), (7,)]",10
10,"[(12,), (12,), (7,), (12,), (12,)]",18
