minsup,Pattern,Support
10,11,"[(12,), (12,), (12,), (7,), (8,), (7, 8)]"
10,15,"[(12,), (12,), (12,), (7,), (8,)]"
10,13,"[(12,), (12,), (12,), (7,), (7, 8), (8,)]"
10,17,"[(12,), (12,), (12,), (7,), (7, 8)]"
10,12,"[(12,), (12,), (12,), (7,), (7,), (12,)]"
10,10,"[(12,), (12,), (12,), (7,), (7,), (8,)]"
10,10,"[(12,), (12,), (12,), (7,), (7,), (7, 8), (8,)]"
10,11,"[(12,), (12,), (12,), (7,), (7,), (7, 8)]"
10,15,"[(12,), (12,), (12,), (7,), (7,)]"
10,26,"[(12,), (12,), (12,), (7,)]"
10,61,"[(12,), (12,), (12,)]"
10,11,"[(12,), (12,), (8,), (66,)]"
10,11,"[(12,), (12,), (8,), (12,), (66,)]"
10,10,"[(12,), (12,), (8,), (12,), (12,), (12,), (12,), (12,)]"
10,10,"[(12,), (12,), (8,), (12,), (12,), (12,), (12,)]"
10,11,"[(12,), (12,), (8,), (12,), (12,), (12,)]"
10,10,"[(12,), (12,), (8,), (12,), (12,), (8,)]"
10,10,"[(12,), (12,), (8,), (12,), (12,), (7,)]"
10,15,"[(12,), (12,), (8,), (12,), (12,)]"
10,12,"[(12,), (12,), (8,), (12,), (8,), (12,)]"
10,10,"[(12,), (12,), (8,), (12,), (8,), (8,)]"
10,17,"[(12,), (12,), (8,), (12,), (8,)]"
10,11,"[(12,), (12,), (8,), (12,), (7, 8)]"
10,10,"[(12,), (12,), (8,), (12,), (7,), (12,)]"
10,11,"[(12,), (12,), (8,), (12,), (7,)]"
10,24,"[(12,), (12,), (8,), (12,)]"
10,11,"[(12,), (12,), (8,), (8,), (66,)]"
10,10,"[(12,), (12,), (8,), (8,), (12,), (12,), (12,), (12,)]"
10,11,"[(12,), (12,), (8,), (8,), (12,), (12,), (12,)]"
10,13,"[(12,), (12,), (8,), (8,), (12,), (12,)]"
10,13,"[(12,), (12,), (8,), (8,), (12,), (8,)]"
10,10,"[(12,), (12,), (8,), (8,), (12,), (7,), (12,)]"
10,11,"[(12,), (12,), (8,), (8,), (12,), (7,)]"
10,19,"[(12,), (12,), (8,), (8,), (12,)]"
10,10,"[(12,), (12,), (8,), (8,), (8,), (12,), (12,)]"
10,13,"[(12,), (12,), (8,), (8,), (8,), (12,)]"
10,11,"[(12,), (12,), (8,), (8,), (8,), (8,)]"
10,10,"[(12,), (12,), (8,), (8,), (8,), (7, 8)]"
10,10,"[(12,), (12,), (8,), (8,), (8,), (7,), (12,)]"
10,11,"[(12,), (12,), (8,), (8,), (8,), (7,)]"
10,17,"[(12,), (12,), (8,), (8,), (8,)]"
10,10,"[(12,), (12,), (8,), (8,), (7, 8), (12,)]"
10,11,"[(12,), (12,), (8,), (8,), (7, 8), (8,)]"
10,12,"[(12,), (12,), (8,), (8,), (7, 8)]"
10,11,"[(12,), (12,), (8,), (8,), (7,), (12,), (8,)]"
10,14,"[(12,), (12,), (8,), (8,), (7,), (12,)]"
10,10,"[(12,), (12,), (8,), (8,), (7,), (8,), (7, 8)]"
10,12,"[(12,), (12,), (8,), (8,), (7,), (8,)]"
10,10,"[(12,), (12,), (8,), (8,), (7,), (7, 8), (12,)]"
